id_cita;id_medico;nombre_paciente;nombre_propietario;tipo_animal;raza;fecha;hora;tipo_servicio;motivo;estado
C042;1013258774;Coco;Natalia Vega;Perro;;2026-05-05;09:00;Cirugía;Extirpación tumor;Completada
C043;1047789998;Nala;Andrea Pinto;Gato;;2026-05-07;10:30;Urgencia;Infección cutánea;Cancelada
C044;1547789558;Loki;Esteban Mora;Perro;;2026-05-08;11:00;Consulta;Cansancio;Completada
C045;1019874114;Zeus;Alejandro Gil;Perro;;2026-05-09;13:00;Consulta;Herida pata;En curso
C046;1474159998;Isis;Catalina López;Gato;;2026-05-10;08:30;Consulta;Vacunación anual;Completada
C047;1013258774;Bruno;Sergio Arce;Perro;;2026-05-12;09:15;Consulta;Diarrea crónica;Cancelada
C048;1047789998;Frida;Yuliana Osorio;Gato;;2026-05-13;10:00;Consulta;Dermatitis severa;Completada
C049;1547789558;Bosco;Manuel Ríos;Perro;;2026-05-14;11:30;Consulta;Cardiopatía;Completada
C050;1019874114;Nova;Adriana Gómez;Perro;;2026-05-15;14:00;Consulta;Luxación codo;Pendiente
C051;1474159998;Mochi;Tatiana Duque;Gato;;2026-05-16;08:00;Consulta;Control mensual;Completada
C052;1013258774;Simba;Ricardo Peña;Perro;;2026-05-17;09:30;Consulta;Otitis;Completada
C053;1047789998;Cleo;Paola Sánchez;Gato;;2026-05-19;10:45;Consulta;Alergia;En curso
C054;1547789558;Max;Juan Esteban;Perro;;2026-05-20;11:00;Consulta;Arritmia;Completada
C055;1019874114;Balo;Camila Torres;Perro;;2026-05-21;13:30;Cirugía;Fractura fémur;Pendiente
C056;1474159998;Luna;Marcela Ruiz;Gato;;2026-05-22;08:30;Consulta;Desparasitación;Completada
C057;1013258774;Toby;Felipe Muñoz;Perro;;2026-05-23;09:00;Consulta;Chequeo anual;Completada
C058;1047789998;Mia;Daniela Herrera;Gato;;2026-05-24;10:15;Urgencia;Quemadura;Cancelada
C059;1547789558;Duke;Nicolás Parra;Perro;;2026-05-26;11:30;Consulta;Fatiga;Completada
C060;1019874114;Koda;Sara Quintero;Perro;;2026-05-28;14:00;Consulta;Revisión general;Pendiente
1;1;firulais;Nicolas;Gato;;24/05/2026;09:00 AM;Vacunación;sadsadsadassdadasd;Cancelada
C061;1;alfred;Nicolas;Perro;;24/05/2026;09:00 AM;Vacunación;;Pendiente
C062;1;toby;alejandro;Perro;;05/06/2026;11:00 AM;Consulta General;aweqrstdytfgyhujlkidsfghj;Pendiente
C063;1;das;sads;Perro;;24/05/2026;08:00 AM;Vacunación;nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn;Pendiente
C064;1013258774;zuk;roberto arenas;Gato;;31/05/2026;10:00 AM;Vacunación;234567dasdsadsa;Pendiente
